Unsaved report
2013년 3월 1일 - 2013년 3월 31일
일,통화,노출수,클릭수,비용
2013-03-05,KRW,0,0,0.00
2013-03-06,KRW,966,3,"1,744.00"
2013-03-07,KRW,"5,801",18,"11,862.00"
2013-03-08,KRW,"5,351",12,"7,396.00"
2013-03-09,KRW,"3,283",5,"2,573.00"
2013-03-10,KRW,"3,323",7,"3,493.00"
2013-03-11,KRW,"6,306",18,"9,145.00"
2013-03-12,KRW,"8,594",20,"10,077.00"
2013-03-13,KRW,"8,887",12,"4,205.00"
2013-03-14,KRW,"8,410",16,"7,161.00"
2013-03-15,KRW,"8,705",25,"10,699.00"
2013-03-16,KRW,"5,635",12,"4,480.00"
2013-03-17,KRW,"4,185",2,"1,002.00"
2013-03-18,KRW,"7,810",9,"5,511.00"
2013-03-19,KRW,"6,704",11,"6,443.00"
2013-03-20,KRW,"5,801",15,"7,703.00"
2013-03-21,KRW,"6,580",17,"9,423.00"
2013-03-22,KRW,"9,612",16,"9,829.00"
2013-03-23,KRW,"4,323",16,"9,863.00"
2013-03-24,KRW,"3,751",7,"3,677.00"
2013-03-25,KRW,"8,288",19,"11,388.00"
2013-03-26,KRW,"7,904",29,"15,092.00"
2013-03-27,KRW,"9,089",29,"17,773.00"
2013-03-28,KRW,"8,807",24,"12,822.00"
2013-03-29,KRW,"9,053",41,"21,804.00"
2013-03-30,KRW,"8,913",21,"9,865.00"
2013-03-31,KRW,"9,688",17,"8,514.00"
