"날짜","노출수","클릭수","클릭률","평균클릭비용","총비용","직접전환수","직접전환금액","간접전환수","간접전환금액","전환율"
"2019.02.01","6657","11","0.17%","464.00","5104.0","0","0","0","0","0.00%"
"2019.02.02","5061","12","0.24%","1453.83","17446.0","0","0","0","0","0.00%"
"2019.02.03","5481","14","0.26%","332.36","4653.0","0","0","0","0","0.00%"
"2019.02.04","6830","20","0.29%","1923.35","38467.0","1","0","0","0","5.00%"
"2019.02.05","6638","15","0.23%","679.07","10186.0","0","0","0","0","0.00%"
"2019.02.06","8749","18","0.21%","582.39","10483.0","0","0","0","0","0.00%"
"2019.02.07","9091","18","0.20%","692.39","12463.0","0","0","0","0","0.00%"
"2019.02.08","5557","13","0.23%","1628.85","21175.0","0","0","0","0","0.00%"
"2019.02.09","3259","8","0.25%","4752.00","38016.0","0","0","0","0","0.00%"
"2019.02.10","2857","5","0.18%","847.00","4235.0","0","0","0","0","0.00%"
"2019.02.11","4581","12","0.26%","2808.67","33704.0","0","0","0","0","0.00%"
"2019.02.12","4629","17","0.37%","1028.82","17490.0","2","0","0","0","11.76%"
"2019.02.13","4642","15","0.32%","3111.53","46673.0","0","0","2","0","13.33%"
"2019.02.14","4139","9","0.22%","2819.67","25377.0","0","0","1","0","11.11%"
"2019.02.15","3997","13","0.33%","819.08","10648.0","0","0","1","0","7.69%"
"2019.02.16","3001","10","0.33%","785.40","7854.0","1","0","0","0","10.00%"
"2019.02.17","3187","10","0.31%","1067.00","10670.0","0","0","0","0","0.00%"
"2019.02.18","4873","8","0.16%","3415.50","27324.0","0","0","1","0","12.50%"
"2019.02.19","4752","9","0.19%","2811.11","25300.0","0","0","0","0","0.00%"
"2019.02.20","4544","14","0.31%","1337.29","18722.0","2","0","0","0","14.29%"
