날짜,노출수,클릭수,클릭률,평균클릭비용,총비용,직접전환수,직접전환금액,간접전환수,간접전환금액,전환율
2019.03.01,7154,15,0.21%,410.27,6154,1,0,0,0,6.67%
2019.03.02,5124,9,0.18%,2053.11,18478,0,0,0,0,0.00%
2019.03.03,4481,10,0.22%,512.4,5124,0,0,0,0,0.00%
2019.03.04,6487,15,0.23%,2276.93,34154,0,0,0,0,0.00%
2019.03.05,4514,8,0.18%,1551.88,12415,0,0,0,0,0.00%
2019.03.06,7748,15,0.19%,1027.47,15412,0,0,0,0,0.00%
2019.03.07,7741,16,0.21%,702.56,11241,0,0,0,0,0.00%
2019.03.08,6521,13,0.20%,1785.38,23210,0,0,0,0,0.00%
2019.03.09,4450,9,0.20%,3935.33,35418,0,0,0,0,0.00%
2019.03.10,3312,7,0.21%,573.57,4015,0,0,0,0,0.00%
2019.03.11,4145,10,0.24%,3215.4,32154,0,0,0,0,0.00%
2019.03.12,4915,15,0.31%,947.67,14215,0,0,2,0,13.33%
2019.03.13,2148,4,0.19%,2810.25,11241,0,0,0,0,0.00%
2019.03.14,3315,7,0.21%,1792.14,12545,0,0,0,1,14.29%
2019.03.15,3845,13,0.34%,1419.31,18451,0,0,0,1,7.69%
2019.03.16,3487,11,0.32%,1408,15488,0,2,0,0,18.18%
2019.03.17,3548,10,0.28%,1204.1,12041,0,0,0,0,0.00%
2019.03.18,4475,12,0.27%,2367.92,28415,0,0,0,0,0.00%
