"캠페인보고서(2019.02.01.~2019.02.20.),----",,,,
캠페인유형,일별,노출수,클릭수,"총비용(VAT포함,원)"
파워링크,2019.02.01.,"145,263",94,"1,036,420"
파워링크,2019.02.02.,"118,883",86,"910,107"
파워링크,2019.02.03.,"116,481",51,"398,322"
파워링크,2019.02.04.,"126,863",81,"755,931"
파워링크,2019.02.05.,"136,380",54,"491,942"
파워링크,2019.02.06.,"132,315",96,"814,885"
파워링크,2019.02.07.,"174,939",141,"1,279,146"
파워링크,2019.02.08.,"161,842",147,"1,311,234"
파워링크,2019.02.09.,"132,350",118,"1,236,994"
파워링크,2019.02.10.,"133,037",115,"1,023,649"
파워링크,2019.02.11.,"163,438",137,"1,170,620"
파워링크,2019.02.12.,"172,982",150,"1,223,069"
파워링크,2019.02.13.,"171,567",193,"1,737,010"
파워링크,2019.02.14.,"171,001",166,"1,343,562"
파워링크,2019.02.15.,"154,012",122,"1,171,775"
파워링크,2019.02.16.,"146,657",85,"743,546"
파워링크,2019.02.17.,"142,419",113,"933,471"
파워링크,2019.02.18.,"160,984",180,"1,581,877"
파워링크,2019.02.19.,"167,008",175,"1,352,175"
파워링크,2019.02.20.,"169,708",144,"1,247,643"
